Coin,trades,volume,avg_pnl,win_rate,maker_rate
ORDI,39,19765.6,2.5536826153846155,48.717948717948715,15.384615384615385
MATIC,38,231562.53,17.603447815789472,26.31578947368421,2.631578947368421
YGG,37,53533.630000000005,28.20965637837838,56.75675675675676,18.91891891891892
ARK,36,10111.66,0.755258,50.0,38.88888888888889
kSHIB,36,83627.17,10.615540403333334,33.33333333333333,11.11111111111111
@83,35,1426.41,-9.635405870857143,0.0,0.0
kFLOKI,35,37380.89,45.92674642857143,57.14285714285714,2.857142857142857
@23,34,5218.84,0.0,0.0,0.0
RSR,32,19577.24,5.169729,68.75,9.375
SCR,32,49793.18,50.40548,65.625,0.0
@1,32,3660.18,15.5233199375,40.625,31.25
INIT,31,49061.87,11.758087096774194,48.38709677419355,58.06451612903226
HYPER,31,119127.13,28.208829032258066,93.54838709677419,64.51612903225806
ZEN,30,38169.05,-24.935100614666666,26.666666666666668,56.666666666666664
TON,30,53812.28,-0.6032903333333334,13.333333333333334,0.0
REZ,28,12262.95,5.824474285714286,50.0,25.0
@125,25,5731.4,14.81058268,36.0,16.0
ACE,25,72261.42,110.4285964,92.0,100.0
@3,23,575.81,0.020109304347826085,8.695652173913043,82.6086956521739
PIXEL,23,34839.78,17.647591304347824,69.56521739130434,100.0
REQ,19,2277.65,0.2603861052631579,68.42105263157895,68.42105263157895
DYM,19,14764.33,13.202340658947367,31.57894736842105,47.368421052631575
@109,17,5670.63,318.47553764705884,82.35294117647058,0.0
@14,16,848.44,0.0,0.0,0.0
@78,15,6550.37,0.0,0.0,0.0
MYRO,15,47222.34,3.5651780000000004,86.66666666666667,86.66666666666667
POLYX,14,32669.5,44.15240592857143,92.85714285714286,100.0
AR,13,10309.88,15.644784615384614,84.61538461538461,84.61538461538461
MEW,12,1305.31,2.705173333333333,58.333333333333336,0.0
@37,10,1850.97,29.8859201,50.0,0.0
SUPER,10,1293.37,3.5197902,40.0,0.0
BNT,10,5828.41,-1.760528,20.0,0.0
CANTO,10,20132.280000000002,-16.582052248000004,0.0,0.0
BOME,8,1319.38,1.5310127500000001,25.0,0.0
@26,8,24.57,-0.032252249999999996,0.0,0.0
XAI,8,64998.32,134.276725875,75.0,75.0
BANANA,8,1078.52,-10.185648500000001,0.0,0.0
@40,8,413.94,1.518710375,25.0,0.0
MINA,8,12246.55,24.8380625,87.5,50.0
MNT,8,1340.22,-2.632147125,12.5,0.0
STG,7,10728.33,25.649108571428574,71.42857142857143,100.0
IOTA,7,12495.93,-0.350692,0.0,0.0
@38,7,537.9000000000001,4.753141857142857,14.285714285714285,0.0
ALGO,7,3867.61,2.6233600000000004,42.857142857142854,0.0
@124,7,1173.07,-18.37198228571429,0.0,0.0
@74,6,382.76,61.93887483333333,83.33333333333334,0.0
@112,6,759.63,-8.685787333333332,33.33333333333333,16.666666666666664
@147,5,612.5600000000001,-70.1265388,0.0,0.0
FIL,5,19806.989999999998,-7.055718000000001,0.0,0.0
SHIA,5,1279.06,54.7137286,60.0,0.0
kNEIRO,5,882.27,1.0638874,40.0,0.0
ETC,5,1928.3799999999999,41.009696000000005,60.0,0.0
LOOM,5,1715.72,43.011410999999995,40.0,0.0
ENS,4,20014.59,-1.7803399999999998,0.0,0.0
UNIBOT,4,2333.2599999999998,81.26394225,50.0,0.0
RLB,4,1914.8,18.986934,50.0,0.0
@103,4,40.0,9.639509,100.0,0.0
@138,4,109.53999999999999,12.737671,100.0,0.0
@113,4,42.28,4.231555,50.0,0.0
@49,4,959.27,-10.178054249999999,0.0,25.0
@29,4,23.7,-0.0195935,0.0,0.0
@117,3,14.77,1.5438963333333333,33.33333333333333,0.0
BABY,3,3903.33,32.909933333333335,66.66666666666666,33.33333333333333
@100,3,42.67,9.209047333333332,66.66666666666666,0.0
@116,3,11.85,0.5743163333333333,66.66666666666666,0.0
@35,2,68.21000000000001,33.5140635,100.0,0.0
@2,2,999.8299999999999,-0.453973,0.0,0.0
@10,2,37.260000000000005,-0.031742,0.0,0.0
@13,2,52.86,-0.061895,0.0,0.0
@16,2,35.86,-0.0302145,0.0,0.0
@24,2,2.71,-0.001468,0.0,0.0
@33,2,15.14,6.7834645,100.0,0.0
@53,2,69.77000000000001,33.932353500000005,100.0,0.0
@63,2,59.95,-10.331773,0.0,0.0
@9,2,241.67000000000002,-29.2824445,0.0,0.0
@47,2,51.099999999999994,25.156729,100.0,0.0
CYBER,2,1191.71,95.7648,50.0,0.0
@95,2,120.78,-14.7190305,0.0,0.0
GAS,2,739.53,30.30695,50.0,0.0
LISTA,2,1994.73,2.23487,50.0,0.0
NEIROETH,2,409.70000000000005,17.080789,50.0,0.0
MERL,2,96.53,-1.58682,0.0,50.0
MAV,2,21.049999999999997,0.00945,50.0,0.0
PEOPLE,2,1360.49,180.3230025,50.0,0.0
@68,1,10.09,0.0,0.0,0.0
@36,1,16.09,15.663073,100.0,0.0
@135,1,15.56,-140.76689048,0.0,0.0
@12,1,8.9,0.0,0.0,0.0
@39,1,12.57,12.238556,100.0,0.0
@41,1,37.23,36.73844,100.0,100.0
@93,1,16.33,15.954796,100.0,0.0
@86,1,10.17,0.0,0.0,0.0
@114,1,1.32,1.309077,100.0,0.0
@31,1,33.61,33.212273,100.0,0.0
