thr,alpha,gate,n,total_pnl,hit_rate,pf,max_dd,score
0.5700000000000001,1.0,0.05,72079,7861729.939215723,0.9335590116400061,19.37205286660914,-87628.98734638467,7791535.799449287
0.5700000000000001,1.0,0.03,72439,7861514.204919221,0.9320531757754801,19.28654230836793,-87628.98734638467,7791243.105650367
0.5700000000000001,1.0,0.01,72792,7860677.537230755,0.9307753599296626,19.138902990399885,-90211.91254585609,7787690.637376259
0.5700000000000001,1.0,0.0,72955,7860652.576844141,0.9300116510177506,19.128211054307908,-90330.16112940107,7787537.805663617
0.5700000000000001,1.0,0.02,72599,7859754.596207181,0.931555531067921,19.170622965417028,-90211.64912355319,7786796.507752503
0.5800000000000001,1.0,0.08,71256,7842416.254407464,0.9368754911867071,20.166777776094847,-85403.38696727436,7775162.9674386745
0.38,1.5,0.01,76096,7866784.965342322,0.9166973296888141,16.74649705690017,-107151.77760142274,7774705.03509211
0.38,1.5,0.0,76243,7866783.89600329,0.9160447516493317,16.746389611109226,-107151.77760142274,7774703.869051865
0.38,1.5,0.02,75938,7866777.201312429,0.9176433406199794,16.747374188037725,-107151.77760142274,7774698.060480241
0.38,1.5,0.03,75751,7866592.363595762,0.9182849071299389,16.74922433877047,-107151.77760142274,7774514.887899233
0.38,1.5,0.05,75397,7866471.397559266,0.9201294481212781,16.76260732687366,-107131.27609670628,7774426.468056746
0.38,1.5,0.08,74886,7863703.43913607,0.9221616857623588,16.804389565928442,-107131.27609670628,7771696.1136487
0.5800000000000001,1.0,0.02,72439,7838566.688735417,0.9320531757754801,19.546468788236446,-87113.28176425118,7769045.228880579
0.5800000000000001,1.0,0.03,72268,7838300.436375492,0.9327364808767366,19.56500629708746,-87113.28176425118,7768795.66027862
0.5800000000000001,1.0,0.05,71884,7837067.085466378,0.9343247454231818,19.631122012405005,-87113.28176425118,7767621.813513292
0.5800000000000001,1.0,0.0,72792,7837687.255244797,0.9307753599296626,19.45656901958938,-88759.64395461511,7766438.523407812
0.5800000000000001,1.0,0.01,72599,7837434.80429502,0.931555531067921,19.470161536827934,-88759.5766992094,7766198.3729789555
0.39,1.5,0.05,75215,7852080.468081074,0.9210795718939041,16.96902615527189,-105932.73907624185,7761419.852544577
0.39,1.5,0.0,76096,7852055.884980476,0.9166973296888141,16.942176504296103,-105944.89149048459,7761358.952343859
0.39,1.5,0.01,75938,7852051.86242249,0.9176433406199794,16.942396409787452,-105944.89149048459,7761355.127700814
0.39,1.5,0.02,75751,7851951.210062737,0.9182849071299389,16.943304957009623,-105944.89149048459,7761255.293033561
0.39,1.5,0.03,75552,7851922.641869384,0.9193138500635324,16.947428888201742,-105932.73907624185,7761242.588792523
0.39,1.5,0.08,74719,7850400.762916004,0.922763955620391,17.025052582566875,-105807.64261867758,7759915.667621637
0.59,1.0,0.08,70998,7815978.055515214,0.9379841685681287,20.49866999590952,-85075.54294209834,7749351.315569434
0.4,1.5,0.05,75035,7836957.2703236295,0.9217565136269741,17.17187010313117,-104713.76725102868,7747698.1861654185
0.4,1.5,0.0,75938,7836917.641697402,0.9176433406199794,17.14458655819936,-104718.98243258428,7747628.787167197
0.4,1.5,0.01,75751,7836883.691776229,0.9182849071299389,17.144776936497053,-104718.98243258428,7747595.008586492
0.4,1.5,0.02,75552,7836865.719009794,0.9193138500635324,17.14671853144828,-104713.76725102868,7747583.998437069
0.4,1.5,0.03,75397,7836829.355034042,0.9201294481212781,17.149831004675786,-104713.76725102868,7747550.435687222
0.4,1.5,0.08,74537,7835515.229606397,0.9235413284677408,17.22948716455673,-104609.3112752745,7746412.456779224
0.59,1.0,0.03,72079,7814673.029589564,0.9335590116400061,19.87883839252847,-86572.41981225554,7745991.564330583
0.59,1.0,0.01,72439,7814499.781518257,0.9320531757754801,19.828847720800656,-86572.41981225554,7745773.324654723
0.59,1.0,0.02,72268,7814351.630576285,0.9327364808767366,19.841683071803747,-86572.41981225554,7745636.725528653
0.59,1.0,0.05,71681,7813995.549805281,0.9350455490297289,19.962985283192303,-86398.45815955754,7745563.778400596
0.59,1.0,0.0,72599,7814026.242045678,0.931555531067921,19.79704368835147,-87236.67147367634,7744606.909891518
0.6,1.0,0.08,70743,7799940.8011513,0.9391035155421738,21.31805902299584,-84743.61481160298,7734383.439460393
0.41000000000000003,1.5,0.03,75215,7821452.573134333,0.9210795718939041,17.363214479679275,-103474.76478151325,7733604.701384531
0.41000000000000003,1.5,0.0,75751,7821373.994340641,0.9182849071299389,17.353422027578073,-103475.29080394749,7733516.783361514
0.41000000000000003,1.5,0.01,75552,7821366.852281135,0.9193138500635324,17.353774437275465,-103474.76478151325,7733510.484493169
0.41000000000000003,1.5,0.02,75397,7821348.710284648,0.9201294481212781,17.35530906058639,-103474.76478151325,7733493.723657663
0.41000000000000003,1.5,0.08,74318,7819984.026912919,0.9241637288409268,17.422935804800808,-103390.30254603364,7732274.366591207
0.41000000000000003,1.5,0.05,74886,7820005.918700013,0.9221616857623588,17.37321972148099,-103474.76478151325,7732167.051667833
0.6,1.0,0.05,71492,7793607.842460854,0.935657136462821,20.52319708454577,-85076.47532327939,7727002.244513665
0.6,1.0,0.02,72079,7789379.940665502,0.9335590116400061,20.165641316214327,-86004.51476266421,7721524.503087431
0.6,1.0,0.0,72439,7789229.528940239,0.9320531757754801,20.136719589282336,-86004.51476266421,7721348.061807929
0.6,1.0,0.01,72268,7789205.384487119,0.9327364808767366,20.143128405357253,-86004.51476266421,7721329.685289276
0.6,1.0,0.03,71884,7788434.665620748,0.9343247454231818,20.17582755608268,-86004.51476266421,7720588.395658558
0.42,1.5,0.02,75215,7805464.132148948,0.9210795718939041,17.572835226205495,-102216.33858176786,7719063.345270765
0.42,1.5,0.03,75035,7805447.535695486,0.9217565136269741,17.5772322419269,-102216.33858176786,7719050.706131452
0.42,1.5,0.0,75552,7805412.2531049475,0.9193138500635324,17.568435477409437,-102216.33858176786,7719007.506452848
0.42,1.5,0.01,75397,7805407.399692078,0.9201294481212781,17.56877537138286,-102216.33858176786,7719002.958944554
0.42,1.5,0.05,74719,7804885.1005581785,0.922763955620391,17.600425847624855,-102151.01240219362,7718574.471418847
0.42,1.5,0.08,74189,7803216.87067486,0.9245979862243728,17.622332482662472,-102151.01240219362,7716925.957507063
0.61,1.0,0.08,70503,7772366.292449217,0.9398039799724834,21.70003811960981,-84394.66472569387,7707501.662031172
0.43,1.5,0.01,75215,7789009.758201545,0.9210795718939041,17.79099578973976,-100939.355033678,7704082.299378633
0.43,1.5,0.02,75035,7788999.314282803,0.9217565136269741,17.793065993745774,-100939.355033678,7704073.718643496
0.43,1.5,0.0,75397,7788991.459727402,0.9201294481212781,17.789947080678235,-100939.355033678,7704063.057066334
0.43,1.5,0.05,74537,7788630.41429001,0.9235413284677408,17.82088698754924,-100892.029261183,7703777.183317621
0.43,1.5,0.03,74886,7788446.047608927,0.9221616857623588,17.79470529117423,-100939.355033678,7703521.927337306
0.43,1.5,0.08,73994,7786799.528017749,0.9253047544395492,17.8387060486993,-100891.66044776794,7701962.70301381
0.61,1.0,0.05,71256,7765230.518968577,0.9368754911867071,20.823775113486576,-84402.68131921813,7699569.235251497
0.61,1.0,0.01,72079,7762789.770258156,0.9335590116400061,20.478813397836262,-85407.48637719359,7695813.215939015
0.61,1.0,0.03,71681,7762643.713741961,0.9350455490297289,20.530328640963152,-85313.9705950236,7695807.038923804
0.61,1.0,0.0,72268,7762769.587316453,0.9327364808767366,20.472824130477548,-85407.48637719359,7695787.6426566895
0.61,1.0,0.02,71884,7762247.978011562,0.9343247454231818,20.48553805438217,-85407.48637719359,7695277.475883312
0.44,1.5,0.0,75215,7772083.626181301,0.9210795718939041,18.017538140931848,-99645.02272291481,7688654.387785224
0.44,1.5,0.01,75035,7772079.823407628,0.9217565136269741,18.0179136570988,-99645.02272291481,7688650.922976102
0.44,1.5,0.03,74719,7772032.435417437,0.922763955620391,18.028308924180482,-99614.17851909623,7688643.734930104
0.44,1.5,0.08,73805,7771762.111092087,0.9260890183591898,18.123140798003238,-99613.87400453072,7688459.063805759
0.44,1.5,0.02,74886,7771862.086277448,0.9221616857623588,18.018899530385358,-99645.02272291481,7688434.07313188
0.44,1.5,0.05,74318,7771760.208792898,0.9241637288409268,18.0390447036974,-99614.17851909623,7688381.170507129
0.62,1.0,0.08,70251,7737898.865647091,0.9404990676289305,22.00454868246981,-83835.3335410133,7673867.6259203
0.45,1.5,0.02,74719,7754781.409655854,0.922763955620391,18.25658731065783,-98318.57850813866,7672893.759727308
0.45,1.5,0.03,74537,7754738.422273161,0.9235413284677408,18.261592342591182,-98318.57850813866,7672855.276873354
0.45,1.5,0.0,75035,7754709.161605921,0.9217565136269741,18.251749419848608,-98335.02999000996,7672800.706093774
0.45,1.5,0.01,74886,7754703.127306619,0.9221616857623588,18.252118915290655,-98335.02999000996,7672795.00434037
0.62,1.0,0.03,71492,7737709.710596688,0.935657136462821,21.035761860361234,-84238.68343555834,7672403.212835455
0.45,1.5,0.08,73607,7754062.730996365,0.9271808387789204,18.351613184685377,-98318.33614899497,7672260.846713587
0.45,1.5,0.05,74189,7753973.6067847535,0.9245979862243728,18.26534875766143,-98318.57850813866,7672093.84215851
0.62,1.0,0.05,70998,7735544.005427994,0.9379841685681287,21.172026775728096,-84027.34884579293,7670571.480680356
0.62,1.0,0.02,71681,7734940.749549909,0.9350455490297289,20.85405261854265,-84728.91809310578,7668980.478813491
0.62,1.0,0.0,72079,7734800.117197793,0.9335590116400061,20.822166511691155,-84779.03544512205,7668761.0316131925
0.62,1.0,0.01,71884,7734683.043686103,0.9343247454231818,20.824926816979175,-84779.03544512205,7668646.4423762625
0.46,1.5,0.01,74719,7736946.3590221815,0.922763955620391,18.49470226368958,-97006.71157978754,7656584.879479715
0.46,1.5,0.0,74886,7736933.888163695,0.9221616857623588,18.493921782978994,-97011.84840058815,7656566.569367788
0.46,1.5,0.02,74537,7736924.8430426065,0.9235413284677408,18.49704836516693,-97006.71157978754,7656565.47499147
0.46,1.5,0.03,74318,7736831.347326009,0.9241637288409268,18.498283473855913,-97006.71157978754,7656473.090872691
0.46,1.5,0.08,73462,7736041.802405538,0.9278538564155618,18.578786388342245,-96994.76671463624,7655767.943440409
0.46,1.5,0.05,73994,7736114.717859866,0.9253047544395492,18.505998227217614,-97006.52847509738,7655763.5877892645
0.63,1.0,0.05,70743,7712118.514126647,0.9391035155421738,21.87436343574744,-83640.17805346195,7648165.263165358
0.63,1.0,0.02,71492,7707494.504183625,0.935657136462821,21.327460594215545,-83785.82295570709,7642903.395762712
0.63,1.0,0.03,71256,7706819.692149958,0.9368754911867071,21.361239526196456,-83645.39055852778,7642399.4171650065
0.63,1.0,0.08,69995,7704542.782402064,0.9413672405171798,22.25756689653762,-82978.85365469567,7641595.738954252
0.63,1.0,0.01,71681,7705740.327833959,0.9350455490297289,21.209753131756898,-84112.24113162048,7640716.8645209195
0.63,1.0,0.0,71884,7705628.11291062,0.9343247454231818,21.198474438496408,-84116.61419239361,7640590.125712873
0.47,1.5,0.08,73280,7718646.378395499,0.9285480349344978,18.84925855136036,-95670.53168641031,7639940.179405313
0.47,1.5,0.05,73805,7718619.03968407,0.9260890183591898,18.78875002661386,-95680.38782832492,7639848.526879698
0.47,1.5,0.0,74719,7718501.315312995,0.922763955620391,18.742535262737093,-95680.51560047083,7639689.081448987
0.47,1.5,0.01,74537,7718496.711540022,0.9235413284677408,18.74294531205704,-95680.51560047083,7639684.846720402
0.47,1.5,0.02,74318,7718448.986829133,0.9241637288409268,18.74353359013385,-95680.51560047083,7639637.651459782
0.47,1.5,0.03,74189,7718171.3666037,0.9245979862243728,18.74439631765422,-95680.51560047083,7639360.807689118
0.48,1.5,0.08,73100,7700291.272261161,0.9292749658002736,19.125108712699422,-94334.42600380722,7623169.444098784
0.48,1.5,0.0,74537,7699428.132980246,0.9235413284677408,18.999355959543035,-94342.50364720915,7622185.049696626
0.48,1.5,0.01,74318,7699415.277190845,0.9241637288409268,18.99946197929864,-94342.50364720915,7622172.289325005
0.48,1.5,0.05,73607,7699301.972071835,0.9271808387789204,19.04107766398943,-94342.42583217565,7622096.51613725
0.48,1.5,0.02,74189,7699277.311551137,0.9245979862243728,18.999901390735257,-94342.50364720915,7622034.719155589
0.48,1.5,0.03,73994,7699159.372570381,0.9253047544395492,19.002893831235262,-94342.42583217565,7621919.551186317
0.64,1.0,0.05,70503,7679667.151262986,0.9398039799724834,22.235957676728535,-83231.49777266942,7616448.015399372
0.64,1.0,0.01,71492,7675600.675192058,0.935657136462821,21.64733077388306,-83307.80356031004,7611775.469328242
0.64,1.0,0.02,71256,7675180.494289873,0.9368754911867071,21.668330186395877,-83235.19139648695,7611446.800061142
0.64,1.0,0.0,71681,7674917.660467125,0.9350455490297289,21.60241415938426,-83461.30433894321,7610898.5288716275
0.64,1.0,0.03,70998,7674473.708139549,0.9379841685681287,21.725465269447948,-83231.49777266942,7610795.129109383
0.49,1.5,0.08,72955,7683424.064756826,0.9300116510177506,19.51124344353585,-90732.8525175862,7610251.331338421
0.64,1.0,0.08,69700,7671578.79755517,0.9425681492109039,22.619509783471038,-82649.23272838257,7609287.123631911
0.49,1.5,0.03,73805,7679896.8971243985,0.9260890183591898,19.286277051780583,-92995.88832270727,7604258.658148293
0.49,1.5,0.0,74318,7679703.546273385,0.9241637288409268,19.26597814264883,-92995.92384053953,7604047.00276123
0.49,1.5,0.01,74189,7679670.2693854235,0.9245979862243728,19.266082675868812,-92995.92384053953,7604013.819953166
0.49,1.5,0.02,73994,7679616.025574532,0.9253047544395492,19.267569337508913,-92995.88832270727,7603960.949655583
0.49,1.5,0.05,73462,7679473.026804711,0.9278538564155618,19.29743306896708,-92989.6756282989,7603851.040938483
0.5,1.5,0.08,72792,7662912.597696163,0.9307753599296626,19.83179629322763,-88820.14638120122,7591941.067978866
0.5,1.5,0.05,73280,7659537.793352454,0.9285480349344978,19.582680504382687,-91640.45220850315,7585521.753597896
0.5,1.5,0.02,73805,7659434.431883276,0.9260890183591898,19.552194471074838,-91644.9734546002,7585386.433452643
0.5,1.5,0.0,74189,7659309.48145109,0.9245979862243728,19.542470345838236,-91644.97887763754,7585252.725884708
0.5,1.5,0.03,73607,7659291.767273154,0.9271808387789204,19.556454034123913,-91644.9734546002,7585247.602449265
0.5,1.5,0.01,73994,7659300.157139117,0.9253047544395492,19.54278567549309,-91644.9734546002,7585243.690792461
0.65,1.0,0.03,70743,7645206.295441198,0.9391035155421738,22.328293749929482,-82799.46433297265,7582502.295483162
