thr,alpha,n,total_pnl,mean_pnl,hit_rate,pf,max_dd,score
0.75,1.5,68840,6697865.8128779875,97.29613324924443,0.9452789076118536,27.859573416160433,-73103.59194608312,6658193.709031297
0.56,3.0,73100,6693200.014591813,91.56224370166639,0.9292749658002736,26.59563624907294,-72833.6092291968,6652281.168861504
0.69,2.0,70503,6682320.020715617,94.78064792584169,0.9398039799724834,27.46228371785433,-72736.42039690074,6642538.340780141
0.5700000000000001,3.0,72955,6657771.746575946,91.258607999122,0.9300116510177506,26.86364924839331,-72409.84539705887,6617598.280276959
0.7,2.0,70251,6629457.157866428,94.36815359021831,0.9404990676289305,27.805563328222547,-72209.78048771899,6590614.053372576
0.5800000000000001,3.0,72792,6621225.839620192,90.96090009369425,0.9307753599296626,27.13555518369005,-71985.47743299231,6581803.028407628
0.59,3.0,72599,6583514.6574114105,90.68326915537968,0.931555531067921,27.411645584102274,-71557.267626944,6544851.36448539
0.71,2.0,69995,6574386.726948115,93.92651942207465,0.9413672405171798,28.16340240463038,-71665.90268985741,6536516.9071438145
0.6,3.0,72439,6544589.124458534,90.34621025219198,0.9320531757754801,27.69224531209554,-71121.85708161071,6506697.961751438
0.72,2.0,69700,6516972.854034357,93.50032789145419,0.9425681492109039,28.536738447756292,-71100.71111066174,6480116.229061003
0.61,3.0,72268,6504398.304920044,90.00385101179006,0.9327364808767366,27.977673776124615,-70676.37431966048,6467295.139131733
0.62,3.0,72079,6462887.906669896,89.66395075777822,0.9335590116400061,28.268215634761134,-70219.6055387985,6426590.1598928105
0.73,2.0,69423,6457112.282168288,93.01113870285481,0.943520159025107,28.92736508958395,-70513.82890720014,6421311.291368589
0.63,3.0,71884,6420000.960759017,89.310569261018,0.9343247454231818,28.56427660888725,-69750.22529886663,6384527.867390815
0.74,2.0,69147,6394675.007382011,92.47942799227748,0.9442058223784112,29.334878636214675,-69905.17078393884,6359971.6909615295
0.64,3.0,71681,6375679.051723029,88.94517447751886,0.9350455490297289,28.866529826622543,-69266.57489441801,6341052.312620559
0.65,3.0,71492,6329861.985230034,88.53944476626803,0.935657136462821,29.17602290997327,-68766.69720485527,6296106.515517147
0.75,2.0,68840,6329375.403814914,91.94328012514404,0.9452789076118536,29.759628457004514,-69274.51309426967,6295812.44486905
0.66,3.0,71256,6282484.502127597,88.16779642595147,0.9368754911867071,29.493918037122203,-68248.47098535486,6249628.732786789
0.6699999999999999,3.0,70998,6233475.313551971,87.7979001317216,0.9379841685681287,29.8214149960378,-67710.20239821915,6201550.809148997
0.6799999999999999,3.0,70743,6182760.27847106,87.39748495923357,0.9391035155421738,30.16013380191939,-67150.0500394404,6151802.388993923
0.69,3.0,70503,6130258.741736565,86.95032469166652,0.9398039799724834,30.511921932701526,-66565.79756580573,6100307.2504900005
0.7,3.0,70251,6075876.005821833,86.4881070137341,0.9404990676289305,30.878058464273202,-65954.7397455927,6046974.936233369
0.71,3.0,69995,6019505.696734881,85.99908131630662,0.9413672405171798,31.25964049817182,-65313.694112816826,5991703.571219871
0.72,3.0,69700,5961033.056707096,85.5241471550516,0.9425681492109039,31.657898724816917,-64639.31012261473,5934383.225054262
0.73,3.0,69423,5900330.428080096,84.99100338619904,0.943520159025107,32.07416593719745,-63927.66601833701,5874891.761186396
0.74,3.0,69147,5837251.934061234,84.41800705831393,0.9442058223784112,32.51002118962352,-63173.92795616109,5813090.031532621
0.75,3.0,68840,5771642.52098887,83.8414079167471,0.9452789076118536,32.96759059167899,-62372.04997276887,5748831.579726117
